fixation_counter	text_id	simulation_id	foveal_word	foveal_word_index	foveal_word_frequency	foveal_word_predictability	foveal_word_length	foveal_word_threshold	stimulus	trial_words	eye_position	attentional_width	saccade_type	saccade_error	saccade_distance	saccade_cause	recognition_cycle	cycle_of_recognition	fixation_duration	recognized_word_at_foveal_position	recognized_words
0	0	0	hubo	0	3.6859207922	0	4	0.3	hubo un tiempo en	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	2	5.0		0.0	0.0	0	1.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	200	hubo	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
1	0	0	tiempo	2	4.7320316969	0	6	0.3	un tiempo en que yo	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	wordskip	-0.541825549590395	7.458174450409605	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	175	tiempo	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
2	0	0	que	4	6.1476494312	0	3	0.3	en que yo pensaba mucho	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	3	5.0	wordskip	-1.3429078238794347	7.657092176120566	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	225	que	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
3	0	0	pensaba	6	3.6106601631	0	7	0.3	yo pensaba mucho en los	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	wordskip	-1.0545028574743687	8.945497142525632	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	250	pensaba	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
4	0	0	en	8	5.8116058343	0	2	0.3	mucho en los axolotl iba	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	6	5.0	wordskip	-0.6599837477255813	11.340016252274419	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	300	en	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
5	0	0	axolotl	10	0.0	0	7	0.3	los axolotl iba a verlos	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	7	5.0	wordskip	-0.19739033025357267	9.802609669746428	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	225	axolotl	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
6	0	0	a	12	5.984858421	0	1	0.3	iba a verlos al acuario	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	4	5.0	wordskip	-0.9580916860242876	8.041908313975712	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	300	a	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
7	0	0	al	14	5.1909672642	0	2	0.3	verlos al acuario del jardín	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	7	5.0	wordskip	-0.2693907611006056	8.730609238899394	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	300	al	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
8	0	0	del	16	5.1928154711	0	3	0.3	acuario del jardín des plantes	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	8	5.0	wordskip	-1.1748730935075828	10.825126906492418	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	275	del	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
9	0	0	des	18	3.171141151	0	3	0.3	jardín des plantes y me	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	8	5.0	wordskip	-0.39643320693400685	11.603566793065994	1	0.0	"[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 2 0 0
 0 2 0 1 0 0 0 0 0]"	150	des	"['hubo' 'un' 'tiempo' 'te' 'que' 'yo' 'pensaba' 'pensé' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'animal' 'del' 'verlos' 'des' 'destino'
 'y' 'yo' 'quedaba' 'quedé' 'mirándome' 'mirándolos' 'su' 'observando'
 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar'
 'me' 'llevó' 'hasta' 'ellos' 'los' 'mañana' 'de' 'primavera' 'en' 'que'
 'quien' 'abría' 'en' 'cola' 'de' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'idea' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'de' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verlos' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
