fixation_counter	text_id	simulation_id	foveal_word	foveal_word_index	foveal_word_frequency	foveal_word_predictability	foveal_word_length	foveal_word_threshold	stimulus	trial_words	eye_position	attentional_width	saccade_type	saccade_error	saccade_distance	saccade_cause	recognition_cycle	cycle_of_recognition	fixation_duration	recognized_word_at_foveal_position	recognized_words
0	0	0	hubo	0	3.6859207922	0	4	0.5	hubo un tiempo en	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	2	5.0		0.0	0.0	0	3.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	225	hubo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
1	0	0	tiempo	2	4.7320316969	0	6	0.5	un tiempo en que yo	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	6	5.0	wordskip	0.04479197750016209	8.044791977500163	1	2.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	250	tiempo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
2	0	0	un	1	5.7357377879	0	2	0.5	hubo un tiempo en que	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	regression	0.3057348678073939	-5.694265132192606	0	0.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	200	un	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
3	0	0	que	4	6.1476494312	0	3	0.5	en que yo pensaba mucho	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	3	4.0	wordskip	-2.199951792288409	11.80004820771159	1	0.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	225	que	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
4	0	0	pensaba	6	3.6106601631	0	7	0.5	yo pensaba mucho en los	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	4.5	wordskip	-1.3442009410399898	8.65579905896001	1	4.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	300	pensaba	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
5	0	0	yo	5	5.2736123286	0	2	0.5	que yo pensaba mucho en	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	4	5.0	regression	0.2772422192938364	-4.722757780706163	0		"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	175	yo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
6	0	0	mucho	7	4.7123887099	0	5	0.5	pensaba mucho en los axolotl	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	9	4.0	wordskip	-1.7277107661323317	11.272289233867669	1	1.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	175	mucho	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
7	0	0	axolotl	10	0.0	0	7	0.5	los axolotl iba a verlos	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	7	4.5	wordskip	-0.48031269004976385	14.519687309950235	1	4.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	275	axolotl	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
8	0	0	los	9	5.4692519065	0	3	0.5	en los axolotl iba a	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	4	5.0	regression	0.2963506850983976	-5.703649314901602	0	0.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	250	los	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
9	0	0	iba	11	4.1240475191	0	3	0.5	axolotl iba a verlos al	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	9	4.0	wordskip	-0.8610719026620065	11.138928097337994	1	0.0	"[ 3  0  2  5  0 10  4  1  3  0  4  0  1  1  0  4  6  2  0  1  4  0  4  1
  6  6  0  9  1  5  4  3  1  0  2  1  0  4  2  0  1  0  3  0  2  7  5  3
  4  3  1  6  1  3  2  5  1  2  4  0  5  0  8  7  1  0  8  0  2  8  5  6
  0  3  5  0  1  0  0  2  5  3  3]"	275	iba	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'des'
 'plantes' 'y' 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su'
 'inmovilidad' 'sus' 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl'
 'el' 'azar' 'me' 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera'
 'en' 'que' 'parís' 'abría' 'su' 'cola' 'de' 'pavo' 'real' 'después' 'de'
 'la' 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'del' 'leones']"
