fixation_counter	text_id	simulation_id	foveal_word	foveal_word_index	foveal_word_frequency	foveal_word_predictability	foveal_word_length	foveal_word_threshold	stimulus	trial_words	eye_position	attentional_width	saccade_type	saccade_error	saccade_distance	saccade_cause	recognition_cycle	cycle_of_recognition	fixation_duration	recognized_word_at_foveal_position	recognized_words
0	0	0	hubo	0	3.6859207922	0	4	0.5	hubo un tiempo en	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	2	5.0		0.0	0.0	0	3.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	300	hubo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
1	0	0	tiempo	2	4.7320316969	0	6	0.5	un tiempo en que yo	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	wordskip	-0.282653208905339	7.717346791094661	1	1.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	225	tiempo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
2	0	0	tiempo	2	4.7320316969	0	6	0.5	un tiempo en que yo	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	8	5.0	refixation	1.1562239592007748	2.1562239592007746	2		"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	200	tiempo	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
3	0	0	que	4	6.1476494312	0	3	0.5	en que yo pensaba mucho	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	wordskip	0.24908271753364059	6.249082717533641	1	0.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	175	que	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
4	0	0	pensaba	6	3.6106601631	0	7	0.5	yo pensaba mucho en los	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	6	5.0	wordskip	-0.18753147150797034	7.81246852849203	1	4.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	250	pensaba	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
5	0	0	mucho	7	4.7123887099	0	5	0.5	pensaba mucho en los axolotl	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	10	5.0	forward	-0.2868264066036315	6.713173593396369	0	0.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	200	mucho	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
6	0	0	los	9	5.4692519065	0	3	0.5	en los axolotl iba a	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	wordskip	0.12769369714994883	8.12769369714995	1	0.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	250	los	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
7	0	0	axolotl	10	0.0	0	7	0.5	los axolotl iba a verlos	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	9	5.0	forward	1.0604132070426417	6.060413207042641	0	1.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	225	axolotl	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
8	0	0	a	12	5.984858421	0	1	0.5	iba a verlos al acuario	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	4	5.0	wordskip	-0.9301411567107293	6.06985884328927	1	2.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	175	a	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
9	0	0	verlos	13	3.1571544399	0	6	0.5	a verlos al acuario del	['hubo', 'un', 'tiempo', 'en', 'que', 'yo', 'pensaba', 'mucho', 'en', 'los', 'axolotl', 'iba', 'a', 'verlos', 'al', 'acuario', 'del', 'jardín', 'des', 'plantes', 'y', 'me', 'quedaba', 'horas', 'mirándolos', 'observando', 'su', 'inmovilidad', 'sus', 'oscuros', 'movimientos', 'ahora', 'soy', 'un', 'axolotl', 'el', 'azar', 'me', 'llevó', 'hasta', 'ellos', 'una', 'mañana', 'de', 'primavera', 'en', 'que', 'parís', 'abría', 'su', 'cola', 'de', 'pavo', 'real', 'después', 'de', 'la', 'lenta', 'invernada', 'bajé', 'por', 'el', 'bulevar', 'de', 'port', 'royal', 'tomé', 'st', 'marcel', 'y', 'lhôpital', 'vi', 'los', 'verdes', 'entre', 'tanto', 'gris', 'y', 'me', 'acordé', 'de', 'los', 'leones']	5	5.0	forward	0.5382153422383108	4.538215342238311	0	0.0	"[ 3  7  1  5  0  1  4  0  2  0  1  2  2  0  1  4  0  0  7 -1  0  0  1  1
  3  5  0  8  0  5  0  2  3  0  2  0  1  4  1  0  1  2  2  0  4  1  2  2
  5  2  1  5  1  4  2  5  0  2  7  4  0  3  2  7  1  1  7  0  2  5  4  6
  0  3  5  1  9  2  0  0  2  0  1]"	225	verlos	"['hubo' 'un' 'tiempo' 'en' 'que' 'yo' 'pensaba' 'mucho' 'en' 'los'
 'axolotl' 'iba' 'a' 'verlos' 'al' 'acuario' 'del' 'jardín' 'del' None 'y'
 'me' 'quedaba' 'horas' 'mirándolos' 'observando' 'su' 'inmovilidad' 'sus'
 'oscuros' 'movimientos' 'ahora' 'soy' 'un' 'axolotl' 'el' 'azar' 'me'
 'llevó' 'hasta' 'ellos' 'una' 'mañana' 'de' 'primavera' 'en' 'que'
 'parís' 'abría' 'su' 'cola' 'su' 'pavo' 'real' 'después' 'de' 'la'
 'lenta' 'invernada' 'bajé' 'por' 'el' 'bulevar' 'de' 'port' 'royal'
 'tomé' 'st' 'marcel' 'y' 'lhôpital' 'vi' 'los' 'verdes' 'entre' 'tanto'
 'gris' 'y' 'me' 'acordé' 'de' 'los' 'leones']"
